方法   pt:6576.291440427422    sum:31635
冷箭   pt:0    sum:6
主角   pt:0    sum:2
名角   pt:0    sum:4
生角   pt:0    sum:1
老生   pt:0    sum:2
旦角儿   pt:0    sum:6
年初一   pt:0    sum:5
彩旦   pt:0    sum:2
丑角   pt:0    sum:4
花脸   pt:0    sum:3
大花脸   pt:0    sum:4
二花脸   pt:0    sum:2
演职员   pt:0    sum:2
表演家   pt:0    sum:2
舞者   pt:0    sum:2
知名演员   pt:0    sum:2
琴师   pt:0    sum:3
鼓师   pt:0    sum:2
号手   pt:0    sum:3
演奏者   pt:0    sum:2
剧团人员   pt:0    sum:2
编剧   pt:0.0    sum:35
文艺工作者   pt:0    sum:2
模特   pt:0.0    sum:23
阴阳家   pt:0    sum:2
魔法师   pt:0    sum:2
巫师   pt:0    sum:6
女巫   pt:0    sum:3
女神   pt:0.0    sum:75
无产者   pt:0    sum:1
无产阶级   pt:0    sum:2
奴隶   pt:0    sum:3
善良   pt:0.0    sum:60
小市民   pt:0    sum:2
上访者   pt:0    sum:2
接访   pt:0.0    sum:26
投保人   pt:0    sum:2
反驳者   pt:0.0    sum:20
抗议者   pt:0    sum:3
差役   pt:0    sum:7
男仆   pt:0    sum:2
奴才   pt:0    sum:2
仆从   pt:0.0    sum:7
随从   pt:0    sum:2
反正   pt:0.0    sum:33
封建主   pt:0    sum:2
地主   pt:0    sum:5
东家   pt:0    sum:1
农奴主   pt:0.0    sum:43
豪绅   pt:0.0    sum:29
现在   pt:0    sum:11
暴君   pt:0    sum:2
贵人   pt:0    sum:2
皇族   pt:0.0    sum:5
皇室   pt:0    sum:2
太后   pt:0    sum:3
太子   pt:0.0    sum:10
公主   pt:0.0    sum:77
王孙   pt:0    sum:3
公爵   pt:0    sum:1
侯爵   pt:0    sum:3
太监   pt:0    sum:3
宫女   pt:0    sum:2
女官   pt:0    sum:3
官府   pt:0    sum:9
大臣   pt:0    sum:9
芝麻官   pt:0    sum:3
忠臣   pt:0    sum:2
奸臣   pt:0    sum:2
清官   pt:0    sum:3
晴空   pt:0    sum:4
赃官   pt:0    sum:4
男妓   pt:0    sum:2
幕宾   pt:0    sum:3
控制者   pt:0    sum:3
创业者   pt:0.0    sum:78
策划人   pt:0    sum:3
首倡者   pt:0.0    sum:9
主办人   pt:0    sum:2
经办人   pt:0    sum:2
学者   pt:0    sum:4
隐士   pt:0    sum:4
烟鬼   pt:0.0    sum:6
植物人   pt:0.0    sum:10
残缺   pt:0    sum:8
跛子   pt:0    sum:4
驼子   pt:0    sum:2
驼   pt:0    sum:5
瞎子   pt:0.0    sum:7
哑巴   pt:0    sum:3
鳏寡孤独   pt:0    sum:3
鳏夫   pt:0    sum:2
寡妇   pt:0    sum:4
孤   pt:0.0    sum:9
孤魂   pt:0    sum:2
独裁者   pt:0    sum:4
光杆儿   pt:0    sum:4
单身汉   pt:0    sum:4
财神   pt:0    sum:4
阔少   pt:0    sum:3
债主   pt:0    sum:2
寒士   pt:0    sum:2
乞丐   pt:0    sum:7
债户   pt:0    sum:6
帮扶户   pt:0    sum:2
闲杂人员   pt:0    sum:2
红人   pt:0    sum:3
可怜虫   pt:0    sum:2
叩头虫   pt:0    sum:2
无辜   pt:0.0    sum:83
出气筒   pt:0    sum:2
容易   pt:0.0    sum:18
瓮中之鳖   pt:0    sum:2
众矢之的   pt:0    sum:4
屈死鬼   pt:0    sum:3
冤大头   pt:0    sum:1
替身   pt:0.0    sum:5
敲门砖   pt:0    sum:2
祸根   pt:0    sum:3
火主   pt:0    sum:1
死难者   pt:0    sum:3
难民   pt:0.0    sum:5
灾民   pt:0    sum:1
逃亡者   pt:0    sum:1
逃犯   pt:0    sum:3
二流子   pt:0    sum:4
窃贼   pt:0.0    sum:21
败兵   pt:0    sum:7
人质   pt:0.0    sum:6
违反者   pt:0    sum:3
不合格者   pt:0    sum:2
僧徒   pt:0    sum:8
旅行   pt:0.0    sum:339
过路人   pt:0.0    sum:5
乘客   pt:0.0    sum:94
参观者   pt:0    sum:2
亲戚   pt:0.0    sum:285
外戚   pt:0    sum:2
血亲   pt:0    sum:1
姻亲   pt:0    sum:5
女眷   pt:0    sum:2
侨眷   pt:0    sum:2
叔祖   pt:0    sum:2
叔祖母   pt:0    sum:2
继父   pt:0    sum:2
养父   pt:0    sum:3
先父   pt:0    sum:1
鸨母   pt:0.0    sum:641
庶母   pt:0    sum:1
继母   pt:0    sum:5
养母   pt:0.0    sum:7
内外   pt:0    sum:4
保护者   pt:0    sum:3
父子   pt:0.0    sum:12
伯父   pt:0    sum:1
伯母   pt:0    sum:2
叔父   pt:0    sum:3
第三   pt:0.0    sum:13
叔母   pt:0    sum:5
弟妇   pt:0    sum:5
姑父   pt:0.0    sum:5
姑母   pt:0    sum:4
姨父   pt:0    sum:3
姻   pt:0    sum:3
妻舅   pt:0.0    sum:6
舅母   pt:0.0    sum:7
公婆   pt:0.0    sum:9
姑表   pt:0    sum:2
女婿   pt:0.0    sum:23
住持   pt:0    sum:3
内人   pt:0    sum:3
嫂夫人   pt:0    sum:2
正房   pt:0    sum:3
糟糠   pt:0    sum:1
填房   pt:0    sum:4
续弦   pt:0    sum:2
鸳鸯   pt:0    sum:5
家兄   pt:0    sum:2
堂哥哥   pt:0    sum:2
令郎   pt:0    sum:4
雁行   pt:0    sum:2
同胞   pt:0    sum:2
表兄弟   pt:0    sum:2
连襟   pt:0    sum:3
姐夫   pt:0    sum:2
妹夫   pt:0    sum:2
内兄   pt:0    sum:2
内弟   pt:0    sum:3
大姑   pt:0    sum:2
大姨   pt:0.0    sum:14
雄   pt:0    sum:2
养子   pt:0    sum:4
继子   pt:0    sum:1
过继   pt:0    sum:2
小儿   pt:0    sum:1
养女   pt:0    sum:2
双胞胎   pt:0.0    sum:12
甥   pt:0.0    sum:6
佳婿   pt:0    sum:2
赘婿   pt:0    sum:1
姑老爷   pt:0    sum:2
侄女   pt:0    sum:3
甥女   pt:0    sum:2
孙   pt:0.0    sum:36
曾孙   pt:0    sum:3
曾孙女   pt:0    sum:2
外孙   pt:0    sum:2
开山   pt:0    sum:2
佛   pt:0.0    sum:9
先锋   pt:0.0    sum:14
引进者   pt:0    sum:2
今人   pt:0.0    sum:30
继   pt:0.0    sum:381
落后   pt:0    sum:1
受益者   pt:0.0    sum:10
深交   pt:0    sum:6
老交情   pt:0    sum:3
新交   pt:0.0    sum:11
难友   pt:0    sum:2
益友   pt:0    sum:5
世交   pt:0    sum:2
教友   pt:0    sum:1
恩人   pt:0    sum:4
死敌   pt:0    sum:4
外敌   pt:0    sum:2
残敌   pt:0    sum:2
夙仇   pt:0    sum:4
一伙   pt:0    sum:3
一路货   pt:0    sum:4
同道   pt:0    sum:3
把兄弟   pt:0    sum:5
学长   pt:0.0    sum:4
同事   pt:0    sum:2
同僚   pt:0.0    sum:4
东   pt:0    sum:6
男宾   pt:0    sum:2
宾主   pt:0    sum:2
接受方   pt:0.0    sum:5
消费群   pt:0    sum:3
人马   pt:0    sum:1
党徒   pt:0    sum:2
私党   pt:0.0    sum:8
方面   pt:0.0    sum:1936
师母   pt:0    sum:2
收信人   pt:0.0    sum:4
寄卡人   pt:0    sum:3
与会者   pt:0.0    sum:4
特派员   pt:0    sum:2
钦差大臣   pt:0    sum:2
中间人   pt:0.0    sum:4
调解人   pt:0    sum:4
仲裁人   pt:0    sum:6
证婚   pt:0    sum:2
举报者   pt:0    sum:3
介绍人   pt:0    sum:1
男傧相   pt:0.0    sum:5
伴娘   pt:0.0    sum:4
新郎   pt:0.0    sum:4
姘头   pt:0    sum:2
情夫   pt:0    sum:3
情妇   pt:0    sum:4
鳖   pt:0    sum:9
王八   pt:0    sum:1
野心家   pt:0    sum:3
有志者   pt:0    sum:2
懦夫   pt:0    sum:5
脓包   pt:0.0    sum:4
狗熊   pt:0    sum:3
懒汉   pt:0    sum:2
君子   pt:0    sum:7
先贤   pt:0    sum:3
硕果仅存   pt:0    sum:3
禽兽   pt:0    sum:5
主犯   pt:0    sum:11
恶鬼   pt:0.0    sum:4
阎罗   pt:0    sum:4
暴徒   pt:0    sum:3
凶神   pt:0    sum:2
泼妇   pt:0.0    sum:6
伪君子   pt:0    sum:6
滑头   pt:0    sum:8
油嘴   pt:0    sum:5
吝啬鬼   pt:0    sum:6
势利   pt:0    sum:6
造假者   pt:0    sum:2
孝子   pt:0    sum:2
逆子   pt:0    sum:7
贞妇   pt:0    sum:2
荡妇   pt:0    sum:3
骚货   pt:0.0    sum:5
浪子   pt:0.0    sum:9
色鬼   pt:0    sum:3
老顽固   pt:0.0    sum:8
古物   pt:0    sum:3
学究   pt:0    sum:2
急性子   pt:0    sum:1
豪爽   pt:0    sum:5
炮筒子   pt:0    sum:2
慢郎中   pt:0    sum:3
留声机   pt:0    sum:3
话匣子   pt:0    sum:2
嘴尖   pt:0    sum:6
应声虫   pt:0    sum:2
馋嘴   pt:0    sum:2
夜游神   pt:0    sum:1
猫头鹰   pt:0.0    sum:11
文弱书生   pt:0    sum:2
诗仙   pt:0    sum:3
文痞   pt:0    sum:2
文盲   pt:0    sum:5
大老粗   pt:0    sum:2
手松   pt:0.0    sum:30
外行   pt:0    sum:1
生手   pt:0.0    sum:82
奇才   pt:0    sum:3
剑   pt:0.0    sum:23
庸中佼佼   pt:0.0    sum:6
明眼人   pt:0    sum:4
笨伯   pt:0    sum:12
半瓶醋   pt:0.0    sum:9
空架子   pt:0    sum:3
绣花枕头   pt:0    sum:1
糊涂虫   pt:0    sum:2
粗心   pt:0    sum:9
模范   pt:0    sum:4
师表   pt:0    sum:1
劳模   pt:0    sum:2
功臣   pt:0    sum:2
禅   pt:0.0    sum:21
沙门   pt:0    sum:4
道士   pt:0    sum:4
道教徒   pt:0    sum:2
伊斯兰教徒   pt:0    sum:3
天主教徒   pt:0    sum:2
枢机主教   pt:0    sum:2
神甫   pt:0.0    sum:4
耶稣教徒   pt:0    sum:2
反动派   pt:0    sum:4
反动   pt:0.0    sum:297
反派   pt:0.0    sum:5
匪帮   pt:0    sum:2
黑社会   pt:0.0    sum:18
战争贩子   pt:0    sum:3
叛徒   pt:0    sum:3
奸污   pt:0.0    sum:30
卖国贼   pt:0    sum:3
奸贼   pt:0    sum:3
阴险   pt:0.0    sum:31
儿皇帝   pt:0    sum:2
死囚   pt:0.0    sum:4
从犯   pt:0    sum:3
教唆犯   pt:0    sum:2
窝主   pt:0    sum:2
嫌疑人   pt:0.0    sum:7
匪首   pt:0    sum:3
草寇   pt:0    sum:4
殖民者   pt:0    sum:2
惯贼   pt:0    sum:4
盗码者   pt:0.0    sum:56
剽窃者   pt:0    sum:2
侠盗   pt:0    sum:4
失信   pt:0    sum:9
毒贩   pt:0    sum:3
帮凶   pt:0    sum:5
赌徒   pt:0.0    sum:12
酒徒   pt:0    sum:4
妓女   pt:0    sum:6
梅花   pt:0.0    sum:6
艺妓   pt:0    sum:2
暗娼   pt:0    sum:2
龟奴   pt:0    sum:1
物质   pt:0.0    sum:306
占有物   pt:0    sum:2
物体   pt:0.0    sum:471
整体   pt:0    sum:1
晶状体   pt:0    sum:2
绝缘体   pt:0    sum:2
机体   pt:0.0    sum:18
等价物   pt:0    sum:2
附属物   pt:0    sum:2
样片   pt:0    sum:1
硝酸   pt:0    sum:3
醋酸   pt:0    sum:3
烧碱   pt:0    sum:4
碳酸钠   pt:0    sum:2
硫酸铜   pt:0    sum:2
明矾   pt:0    sum:2
硫磺   pt:0    sum:2
蛋白胨   pt:0.0    sum:50
正离子   pt:0    sum:2
等离子   pt:0    sum:2
温血动物   pt:0    sum:2
冷血动物   pt:0    sum:2
节肢动物   pt:0    sum:2
线形动物   pt:0    sum:2
阳性植物   pt:0    sum:2
大秋作物   pt:0    sum:3
越冬作物   pt:0    sum:3
青苗   pt:0    sum:1
微生物   pt:0.0    sum:46
动植物   pt:0    sum:3
给养   pt:0    sum:1
奖品   pt:0.0    sum:25
杂物   pt:0.0    sum:6
宝   pt:0    sum:9
失物   pt:0    sum:1
证物   pt:0    sum:1
赝品   pt:0    sum:5
抵押品   pt:0    sum:1
迎头   pt:0    sum:7
嘡嘡   pt:0    sum:3
违禁品   pt:0    sum:6
赃物   pt:0    sum:3
易燃物品   pt:0    sum:2
工件   pt:0    sum:4
国货   pt:0    sum:3
冷货   pt:0    sum:2
私货   pt:0    sum:4
优质品   pt:0    sum:3
副品   pt:0    sum:8
仿制品   pt:0    sum:2
试用品   pt:0    sum:4
新品种   pt:0.0    sum:14
水产   pt:0    sum:3
工具   pt:0.0    sum:1167
器皿   pt:0.0    sum:29
酒器   pt:0    sum:2
喷头   pt:0    sum:2
锚   pt:0    sum:2
电烙铁   pt:0    sum:2
电熨斗   pt:0.0    sum:17
消火栓   pt:0    sum:2
材料   pt:0.0    sum:33
香料   pt:0    sum:2
生活资料   pt:0    sum:3
衣食   pt:0.0    sum:10
柴米油盐   pt:0    sum:2
家具   pt:0.0    sum:54
家用电器   pt:0    sum:3
农机   pt:0    sum:3
贺礼   pt:0    sum:2
薄礼   pt:0    sum:4
聘礼   pt:0.0    sum:5
祭品   pt:0    sum:3
贡品   pt:0    sum:1
祭礼   pt:0    sum:2
嫁妆   pt:0.0    sum:12
传家宝   pt:0    sum:1
矿   pt:0.0    sum:47
担子   pt:0    sum:2
哎呀   pt:0    sum:13
何   pt:0    sum:1
啊   pt:0    sum:3
哪里   pt:0.0    sum:16
什么   pt:0    sum:4
锭子   pt:0    sum:2
疙瘩   pt:0    sum:5
块   pt:0    sum:2
沙哑   pt:0.0    sum:13
小半   pt:0    sum:7
丛   pt:0.0    sum:16
球   pt:0.0    sum:5
饼   pt:0.0    sum:10
蚕箔   pt:0    sum:2
箔   pt:0.0    sum:14
草屑   pt:0    sum:3
套   pt:0    sum:2
筒   pt:0    sum:1
管   pt:0.0    sum:5
零   pt:0.0    sum:54
洞   pt:0    sum:9
抽打   pt:0    sum:5
尺   pt:0    sum:3
焊条   pt:0    sum:2
钩   pt:0    sum:1
鱼钩   pt:0    sum:2
撒网   pt:0.0    sum:194
绕   pt:0    sum:1
棉纱   pt:0.0    sum:5
蜘蛛网   pt:0    sum:2
脉   pt:0.0    sum:4
波   pt:0    sum:1
表面波   pt:0.0    sum:12
冠以   pt:0.0    sum:16
树梢   pt:0    sum:4
捧   pt:0.0    sum:706
鸡冠   pt:0    sum:2
的   pt:0.0    sum:13
尾   pt:0.0    sum:12
尾数   pt:0    sum:2
沿   pt:0.0    sum:57
边   pt:0    sum:3
牵制   pt:0    sum:1
面   pt:0.0    sum:142
外   pt:0.0    sum:350
外表   pt:0.0    sum:27
外壳   pt:0    sum:1
反面   pt:0.0    sum:35
内中   pt:0    sum:12
侧面   pt:0    sum:1
南侧   pt:0    sum:2
东侧   pt:0    sum:2
北侧   pt:0    sum:2
外围   pt:0.0    sum:5
梁   pt:0    sum:6
膛   pt:0    sum:1
骨架   pt:0.0    sum:12
胸骨   pt:0    sum:3
框   pt:0    sum:2
塞   pt:0.0    sum:5
杆   pt:0    sum:4
推托   pt:0.0    sum:26
扳子   pt:0.0    sum:14
拉手   pt:0    sum:1
刀把   pt:0    sum:2
嘴   pt:0.0    sum:55
鱼翅   pt:0.0    sum:6
栅栏   pt:0    sum:3
挡   pt:0    sum:1
心   pt:0.0    sum:4
时辰   pt:0    sum:2
银河   pt:0.0    sum:23
金星   pt:0.0    sum:10
火星   pt:0.0    sum:41
木星   pt:0    sum:2
土星   pt:0.0    sum:5
织女星   pt:0    sum:2
牵牛星   pt:0    sum:2
牵牛   pt:0    sum:2
北斗星   pt:0    sum:3
北极星   pt:0    sum:2
流星   pt:0.0    sum:8
日   pt:0.0    sum:81
太阳   pt:0    sum:2
朝阳   pt:0    sum:4
夕阳   pt:0    sum:3
太阳黑子   pt:0.0    sum:6
月宫   pt:0    sum:2
蟾蜍   pt:0    sum:3
朔月   pt:0    sum:1
正月   pt:0    sum:6
新月   pt:0    sum:1
满月   pt:0.0    sum:5
皎月   pt:0.0    sum:5
年月   pt:0.0    sum:3
日月   pt:0    sum:1
地球   pt:0.0    sum:367
寰球   pt:0    sum:2
六   pt:0    sum:2
根据   pt:0    sum:5
低地   pt:0    sum:5
荒地   pt:0    sum:7
生荒   pt:0    sum:2
生地   pt:0    sum:2
盐碱地   pt:0    sum:4
墓穴   pt:0.0    sum:6
平原   pt:0.0    sum:7
草原   pt:0.0    sum:75
淤地   pt:0.0    sum:11
水乡   pt:0    sum:2
滩   pt:0.0    sum:20
蚕簇   pt:0.0    sum:172
山脊   pt:0    sum:6
青山   pt:0    sum:3
陵寝   pt:0    sum:2
高峻   pt:0    sum:10
山冈   pt:0    sum:10
土山   pt:0    sum:6
山脚   pt:0    sum:6
颓势   pt:0.0    sum:27
童山   pt:0    sum:4
山间   pt:0.0    sum:4
西北麓   pt:0    sum:3
歪   pt:0.0    sum:12
坡   pt:0.0    sum:5
山坡   pt:0    sum:2
缓坡   pt:0    sum:2
荒山坡   pt:0    sum:2
远洋   pt:0    sum:2
洋流   pt:0    sum:2
大陆架   pt:0.0    sum:6
内海   pt:0    sum:3
濒海   pt:0    sum:3
小河   pt:0    sum:3
护城河   pt:0    sum:3
岔流   pt:0    sum:4
支流   pt:0    sum:1
河床   pt:0    sum:5
河曲   pt:0    sum:2
巨流   pt:0    sum:1
急流   pt:0    sum:2
水沟   pt:0.0    sum:6
咸水湖   pt:0    sum:2
粪池   pt:0    sum:2
泥坑   pt:0    sum:2
潭   pt:0    sum:3
湖泽   pt:0    sum:2
泉水   pt:0    sum:1
喷泉   pt:0    sum:2
温泉   pt:0.0    sum:14
瀑布   pt:0.0    sum:5
废墟   pt:0    sum:8
雨   pt:0.0    sum:17
雨点   pt:0    sum:5
大雨   pt:0.0    sum:7
滂沱   pt:0    sum:3
狂风暴雨   pt:0    sum:1
阵雨   pt:0    sum:4
霖雨   pt:0    sum:5
黄梅雨   pt:0    sum:3
喜雨   pt:0    sum:4
粒雪   pt:0    sum:3
雹   pt:0    sum:5
冰   pt:0.0    sum:97
冰锥   pt:0    sum:3
冰块   pt:0    sum:3
大风   pt:0    sum:4
微风   pt:0    sum:3
清风   pt:0    sum:1
威风   pt:0.0    sum:7
和风   pt:0    sum:2
南风   pt:0    sum:2
北风   pt:0    sum:2
热风   pt:0    sum:2
东风   pt:0.0    sum:4
西南风   pt:0    sum:2
逆风   pt:0    sum:1
旋风   pt:0    sum:2
信风   pt:0    sum:2
风狂雨骤   pt:0    sum:2
风雨交加   pt:0    sum:5
凄风苦雨   pt:0    sum:1
过堂风   pt:0    sum:2
沙尘暴   pt:0.0    sum:4
晚风   pt:0    sum:2
云气   pt:0    sum:2
阴云   pt:0    sum:1
霞   pt:0    sum:3
彩云   pt:0    sum:4
庆云   pt:0    sum:2
严霜   pt:0    sum:2
虹   pt:0.0    sum:30
副虹   pt:0    sum:2
云雾   pt:0    sum:4
雷   pt:0.0    sum:9
炸雷   pt:0    sum:2
打闪   pt:0.0    sum:16
闪电   pt:0    sum:2
无烟煤   pt:0    sum:4
深渊   pt:0    sum:1
积水   pt:0    sum:2
泔水   pt:0    sum:2
水滴   pt:0    sum:2
培养液   pt:0    sum:2
浆   pt:0    sum:2
水泡   pt:0    sum:2
起浪   pt:0    sum:7
涟漪   pt:0.0    sum:9
漩涡   pt:0.0    sum:24
涡流   pt:0    sum:4
野火   pt:0    sum:3
篝火   pt:0    sum:2
磷火   pt:0    sum:2
外焰   pt:0    sum:2
内焰   pt:0    sum:3
星火   pt:0.0    sum:6
烽火   pt:0    sum:3
落照   pt:0    sum:7
光度   pt:0.0    sum:50
白炽   pt:0    sum:2
偏光   pt:0    sum:2
背影   pt:0.0    sum:7
电   pt:0    sum:1
正电   pt:0    sum:2
负电   pt:0    sum:2
感生电流   pt:0    sum:2
电波   pt:0.0    sum:4
无线电波   pt:0    sum:2
气   pt:0.0    sum:37
氢气   pt:0    sum:3
氯气   pt:0    sum:2
氨气   pt:0    sum:3
碳酸气   pt:0.0    sum:9
沼气   pt:0    sum:2
电石气   pt:0    sum:2
毒气   pt:0    sum:2
氩气   pt:0    sum:2
氟化氢   pt:0    sum:2
五彩   pt:0.0    sum:27
淡色   pt:0    sum:2
基色   pt:0    sum:2
冷色   pt:0    sum:2
补色   pt:0    sum:2
图案色   pt:0    sum:2
银灰   pt:0    sum:2
气息   pt:0.0    sum:146
回味   pt:0    sum:1
乐音   pt:0    sum:2
回信   pt:0.0    sum:4
标准音   pt:0    sum:3
元音   pt:0.0    sum:6
辅音   pt:0    sum:3
爆发音   pt:0    sum:2
擦音   pt:0    sum:2
齿唇音   pt:0    sum:2
舌根音   pt:0    sum:2
翘舌音   pt:0    sum:2
字音   pt:0    sum:2
话音   pt:0.0    sum:691
音节   pt:0    sum:2
叮当作响   pt:0    sum:1
足音   pt:0    sum:3
喊叫声   pt:0.0    sum:6
赞扬声   pt:0    sum:4
鞭炮声   pt:0    sum:3
问候声   pt:0    sum:2
无息   pt:0    sum:2
大声   pt:0    sum:3
低声   pt:0    sum:2
音调   pt:0    sum:2
字调   pt:0    sum:2
阴平   pt:0    sum:2
阳平   pt:0    sum:2
上声   pt:0    sum:2
去声   pt:0    sum:2
球拍   pt:0    sum:2
灰烬   pt:0    sum:2
浮土   pt:0    sum:3
征尘   pt:0    sum:2
烟尘   pt:0    sum:1
污点   pt:0    sum:2
泥垢   pt:0    sum:3
皱   pt:0.0    sum:36
指纹   pt:0.0    sum:32
螺纹   pt:0    sum:2
高利贷   pt:0.0    sum:17
手印   pt:0    sum:2
行踪   pt:0.0    sum:5
油迹   pt:0    sum:2
手迹   pt:0    sum:4
花斑癣   pt:0    sum:2
汗斑   pt:0    sum:2
道子   pt:0    sum:2
志   pt:0.0    sum:601
瘢痕   pt:0    sum:5
裂痕   pt:0    sum:2
车辙   pt:0    sum:2
果树   pt:0.0    sum:8
树行子   pt:0    sum:2
松林   pt:0.0    sum:16
海松   pt:0    sum:3
杉   pt:0    sum:2
冷杉   pt:0    sum:3
桧   pt:0    sum:3
毛白杨   pt:0    sum:3
河柳   pt:0    sum:2
雪柳   pt:0    sum:4
蒲柳   pt:0    sum:2
红柳   pt:0    sum:2
梧桐   pt:0    sum:2
油桐   pt:0    sum:3
悬铃木   pt:0    sum:2
香橼   pt:0    sum:2
苏铁   pt:0    sum:2
椴树   pt:0    sum:2
椴   pt:0    sum:3
栗子   pt:0.0    sum:33
栎   pt:0    sum:4
橡胶树   pt:0    sum:2
槲栎   pt:0    sum:2
檀   pt:0    sum:3
棕榈   pt:0    sum:3
三角枫   pt:0    sum:2
枫   pt:0    sum:3
降香   pt:0    sum:2
杜梨   pt:0    sum:2
棠梨   pt:0    sum:1
山桐子   pt:0    sum:1
珙桐   pt:0    sum:2
洋槐   pt:0    sum:2
泡桐   pt:0    sum:1
枳   pt:0    sum:4
柑   pt:0    sum:8
荆   pt:0    sum:2
樟   pt:0    sum:3
杨树   pt:0.0    sum:11
榕树   pt:0    sum:2
榆树   pt:0    sum:4
娑罗树   pt:0    sum:2
桦树   pt:0.0    sum:5
槐树   pt:0    sum:9
常青树   pt:0    sum:3
椰林   pt:0    sum:2
果木林   pt:0    sum:2
幽林   pt:0    sum:6
栀   pt:0    sum:2
毛竹   pt:0    sum:2
观音竹   pt:0    sum:2
紫竹   pt:0    sum:3
斑竹   pt:0    sum:3
箬竹   pt:0    sum:2
竹篾   pt:0    sum:2
竹笋   pt:0    sum:5
金针菜   pt:0.0    sum:5
木芙蓉   pt:0    sum:3
兰花   pt:0    sum:5
珠兰   pt:0    sum:2
睡莲   pt:0    sum:2
唐菖蒲   pt:0    sum:2
梅子   pt:0.0    sum:5
紫薇   pt:0.0    sum:6
木兰   pt:0    sum:3
山茶   pt:0    sum:3
合欢   pt:0    sum:2
仙人球   pt:0.0    sum:5
腊梅   pt:0    sum:1
黄梅   pt:0    sum:3
朱槿   pt:0    sum:2
杜鹃   pt:0    sum:4
月季   pt:0    sum:3
丁香   pt:0    sum:3
蔷薇   pt:0    sum:2
凤仙花   pt:0    sum:2
水仙花   pt:0    sum:2
凌霄花   pt:0    sum:2
紫茉莉   pt:0    sum:2
翠菊   pt:0    sum:2
大丽花   pt:0    sum:2
油菜花   pt:0    sum:1
紫藤   pt:0    sum:2
三色堇   pt:0    sum:2
天竺葵   pt:0    sum:2
茉莉   pt:0    sum:2
鲜花丛   pt:0    sum:4
山丹丹花   pt:0    sum:2
郁金   pt:0    sum:2
奇花异卉   pt:0    sum:3
草   pt:0    sum:1
草丛   pt:0    sum:3
杂草   pt:0    sum:4
松   pt:0    sum:5
蓬   pt:0    sum:1
茅   pt:0    sum:4
蒿子   pt:0    sum:2
沿阶草   pt:0    sum:3
鹅观草   pt:0    sum:2
青蒿   pt:0    sum:2
藜   pt:0    sum:2
浮萍   pt:0    sum:4
爬墙虎   pt:0    sum:2
海带   pt:0    sum:2
苔   pt:0    sum:5
蕈   pt:0    sum:1
银耳   pt:0    sum:2
灵芝   pt:0    sum:3
香菇   pt:0    sum:2
蘑菇   pt:0    sum:6
黑木耳   pt:0    sum:2
旱稻   pt:0    sum:2
大麦   pt:0    sum:2
冬麦   pt:0    sum:2
春麦   pt:0    sum:2
元麦   pt:0    sum:4
黍子   pt:0    sum:2
糜子   pt:0    sum:1
粥   pt:0.0    sum:24
芡   pt:0    sum:2
蔬菜   pt:0.0    sum:98
青菜   pt:0.0    sum:20
包心菜   pt:0.0    sum:7
球茎甘蓝   pt:0.0    sum:6
芥菜   pt:0.0    sum:5
花椰菜   pt:0    sum:3
油菜   pt:0    sum:2
韭菜   pt:0.0    sum:14
大葱   pt:0    sum:2
洋葱   pt:0.0    sum:12
香菜   pt:0    sum:2
宝塔菜   pt:0    sum:3
巢菜   pt:0    sum:3
金花菜   pt:0    sum:2
叶甜菜   pt:0    sum:2
银条菜   pt:0    sum:3
香椿   pt:0    sum:3
芜菁   pt:0    sum:3
茭白   pt:0    sum:2
莴苣   pt:0    sum:3
芦笋   pt:0    sum:3
南瓜   pt:0.0    sum:7
黄瓜   pt:0.0    sum:23
菜瓜   pt:0    sum:2
蚕豆   pt:0    sum:2
赤豆   pt:0    sum:4
红豆   pt:0    sum:2
豆荚   pt:0    sum:3
菜豆   pt:0    sum:4
薯   pt:0    sum:3
芋   pt:0    sum:1
豆薯   pt:0    sum:4
马铃薯   pt:0.0    sum:64
菊芋   pt:0    sum:2
慈姑   pt:0    sum:2
大棚菜   pt:0    sum:2
水果   pt:0.0    sum:183
柚   pt:0    sum:3
橙   pt:0.0    sum:8
荔枝   pt:0    sum:2
石榴   pt:0    sum:2
橄榄   pt:0    sum:4
枣子   pt:0    sum:2
黑枣   pt:0    sum:2
苹果   pt:0.0    sum:340
草莓   pt:0.0    sum:11
草果   pt:0    sum:2
梅毒   pt:0    sum:2
菠萝蜜   pt:0.0    sum:22
椰   pt:0    sum:2
李   pt:0    sum:2
猕猴桃   pt:0    sum:2
五敛子   pt:0    sum:3
番木瓜   pt:0    sum:2
葡萄   pt:0.0    sum:13
山核桃   pt:0    sum:2
榧   pt:0    sum:4
蟠桃   pt:0    sum:2
椰枣   pt:0    sum:1
海枣   pt:0    sum:2
柿   pt:0    sum:3
香蕉   pt:0.0    sum:47
红利   pt:0.0    sum:26
花红   pt:0    sum:1
肉豆蔻   pt:0    sum:2
银杏   pt:0    sum:2
榛   pt:0    sum:2
甜瓜   pt:0    sum:4
甜枣   pt:0    sum:2
药草   pt:0.0    sum:7
川芎   pt:0    sum:2
萝芙木   pt:0    sum:2
大蓟   pt:0    sum:2
龙牙草   pt:0    sum:2
木豆   pt:0    sum:2
乌梅   pt:0    sum:2
南天竹   pt:0    sum:2
贝母   pt:0    sum:2
肉苁蓉   pt:0    sum:1
苁蓉   pt:0    sum:2
熟地   pt:0    sum:2
麦门冬   pt:0    sum:2
